"Reference","Citation","Species","Common name","Stimulus","Modality","Choice","Task","Weber's law","k","Lower bound","Upper bound","Model fitted","Model test statistic","Model p value","Included","Exclusion reason","Source","Data","Search date","file prefix"
"Agrillo et al. 2008 ","Agrillo, C., Dadda, M., Serena, G., Bisazza, A., 2008. Do fish count? Spontaneous discrimination of quantity in female mosquitofish. Anim Cogn 11, 495–503. https://doi.org/10.1007/s10071-008-0140-9","Gambusia affinis","Mosquitofish","Number of conspecifics","vision","innate","rank","reported"," 1.22","  0.94"," 1.52","gaussian",3.71,"0.0026**","Y",,"Review","Fig 2; Fig 3",2022,"agrillo2008"
"Agrillo et al. 2012 ","Agrillo, C., Piffer, L., Bisazza, A., Butterworth, B., 2012. Evidence for two numerical systems that are similar in humans and guppies. PLoS ONE 7, e31923. https://doi.org/10.1371/journal.pone.0031923","Poecilia reticulata","Guppy","Number of conspecifics","vision","innate","rank","reported"," 0.85","  0.54"," 1.04","gaussian",3.97,"<.001***","Y",,"Review","Figure 4",2022,"agrillo2012"
"Benozzo et al. 2022 ","Benozzo, D., Ferrucci, L., Genovesio, A., 2022. Effects of contraction bias on the decision process in the macaque prefrontal cortex. Cereb Cortex. https://doi.org/10.1093/cercor/bhac253","Macaca mulatta","Rhesus macaque","distance","vision","conditioned","rank","reported"," 0.40","  0.37"," 0.44","binomial",69.66,"<.001***","Y",,"Database","Fig 2C",2022,"benozzo2022"
"Beran 2012 ","Beran, M.J., 2012. Quantity judgments of auditory and visual stimuli by chimpanzees (Pan troglodytes). J Exp Psychol Anim Behav Process 38, 23. https://doi.org/10.1037/a0024965","Pan troglodytes","Chimpanzee","Quantity","hearing","innate","rank","reported"," 1.44","  0.68"," 2.32","binomial",3.38,"<.001***","Y",,"Review","Email",2022,"beran2012"
"Bizo et al. 2006 ","Bizo, L.A., Chu, J.Y.M., Sanabria, F., Killeen, P.R., 2006. The failure of Weber’s law in time perception and production. Behav Process 71, 201–210. https://doi.org/10.1016/j.beproc.2005.11.006","Columba livia","Rock dove","Duration","vision","conditioned","rank","reported"," 1.04","  0.92"," 1.17","binomial",3.94,"<.001***","Y",,"Review","Fig 1",2022,"bizo2006"
"Camarillo et al. 2012 ","Camarillo, L., Luna, R., Nácher, V., Romo, R., 2012. Coding perceptual discrimination in the somatosensory thalamus. PNAS 109, 21093–21098. https://doi.org/10.1073/pnas.1219636110","Macaca mulatta","Rhesus macaque","Vibrotactile freq.","touch","conditioned","rank","not reported"," 0.23","  0.10"," 0.37","binomial",25.71,"<.001***","Y",,"Database","Email",2022,"camarillo2012"
"Caves and Kelley 2023 ","Caves, E.M., Kelley, L.A., 2023. Proportional processing of a visual mate choice signal in the green swordtail, Xiphophorus hellerii. Ecol Lett. https://doi.org/10.1111/ele.14179","Xiphophorus hellerii","Green swordtail","Body size","vision","innate","rank","reported"," 2.01","  0.95"," 3.52","gaussian",3.14,"0.0018**","Y",,"Database","Data for Caves & Kelley: Proportional processing of a visual mate choice signal in the green swordtail, Xiphophorus hellerii, 2022. https://doi.org/10.6084/m9.figshare.21701645.v3",2022,"caves2023"
"Dehnhardt 1994 ","Dehnhardt, G., 1994. Tactile size discrimination by a California sea lion (Zalophus californianus) using its mystacial vibrissae. J Comp Physiol A 175, 791–800. https://doi.org/10.1007/BF00191851","Zalophus californianus","California sea lion","Size","touch","conditioned","rank","reported"," 0.96","  0.87"," 1.06","binomial",10.36,"<.001***","Y",,"Database","Fig 3A-D",2022,"dehnhardt1994"
"Dixit et al. 2022 ","Dixit, T., Apostol, A.L., Chen, K.-C., Fulford, A.J.C., Town, C.P., Spottiswoode, C.N., 2022. Visual complexity of egg patterns predicts egg rejection according to Weber’s law. Proc R Soc B 289, 20220710. https://doi.org/10.1098/rspb.2022.0710","Prinia subflava","Tawny-flanked prinia","Egg complexity","vision","innate","difference","reported"," 1.24","  0.27"," 2.08","binomial",2.88,"0.004**","Y",,"Database","Dryad | Data -- Visual complexity of egg patterns predicts egg rejection according to Weber’s law [WWW Document], n.d. URL https://datadryad.org/stash/dataset/doi:10.5061/dryad.nvx0k6dvh (accessed 2.10.25).",2022,"dixit2022"
"Firzlaff et al. 2006 ","Firzlaff, U., Schörnich, S., Hoffmann, S., Schuller, G., Wiegrebe, L., 2006. A neural correlate of stochastic echo imaging. J Neurosci 26, 785–791. https://doi.org/10.1523/JNEUROSCI.3478-05.2006","Phyllostomus discolor","Pale spear-nosed bat","Echo roughness","hearing","conditioned","difference","not reported","-2.43"," -2.61","-2.26","binomial",18.87,"<.001***","Y",,"Database","Email",2022,"firzlaff2006"
"Franks et al. 2005 (i)","Franks, N.R., Dornhaus, A., Metherell, B.G., Nelson, T.R., Lanfear, S.A.J., Symes, W.S., 2005. Not everything that counts can be counted: ants use multiple metrics for a single nest trait. Proceedings of the Royal Society B: Biological Sciences 273, 165–169. https://doi.org/10.1098/rspb.2005.3312","Temnothorax albipennis","Rock ant","Number","vision","innate","rank","reported"," 1.16","  0.88"," 1.36","binomial",2.9,"0.0038**","Y",,"Database","Table 1",2024,"franks2005_num"
